Date,SP500-EPS-Index,SP500-EPS-Ensemble-Pred,SP500-EPS-Ensemble_Pred_Smth,SP500-EPS-Ensemble-Pred-Smth
1999-05-01,683.542422051687,732.8158835131741,7.78068489909462e-15,-1.66238220509697e-26
1999-06-01,698.654956692927,732.8158835131741,7.868388795395602e-15,-1.6785071959727683e-26
1999-07-01,715.326645823419,732.8158835131741,8.48334283995412e-15,-1.6895096446798204e-26
1999-08-01,731.912269824058,769.9084667391078,9.929625668211511e-15,-1.6978340965148892e-26
1999-09-01,748.584163858399,769.9084667391078,1.2734657940705476e-14,-1.705922906524902e-26
1999-10-01,772.531478600242,769.9084667391078,1.1063875672376458e-14,-1.7161939586266425e-26
1999-11-01,796.58448537427,769.9084667391078,1.0941535657168259e-14,-1.7266875161159992e-26
1999-12-01,820.369482291481,769.9084667391078,1.1249274749698523e-14,-1.7715351693774745e-26
2000-01-01,836.072051818012,769.9084667391078,1.1638019418041282e-14,-1.8088552254971872e-26
2000-02-01,852.094600259604,779.8327976932999,1.1534860782587137e-14,-1.8056458663260643e-26
2000-03-01,867.629502236823,783.3251477004962,1.1980623662279391e-14,-1.7913797973303004e-26
2000-04-01,873.289088084407,823.5662592663161,1.320290406096222e-14,-1.776362866370061e-26
2000-05-01,878.808309683994,688.3884891847943,1.0670769079178514e-14,-1.763541700837013e-26
2000-06-01,884.195942489237,761.7099937437272,8.568130289884511e-15,-1.785444222992091e-26
2000-07-01,894.3665730544421,803.6507829153453,7.958964597721771e-15,-1.835019985175652e-26
2000-08-01,904.5116673485901,803.6507829153453,7.927358898998538e-15,-1.8116696030692322e-26
2000-09-01,914.5090655056239,803.6507829153453,8.00492077147047e-15,-1.792610798693425e-26
2000-10-01,893.425499945908,880.6129757707172,7.981107019252654e-15,-1.7710766387927374e-26
2000-11-01,872.479480485442,743.6912294261822,7.697006300773777e-15,-1.7495319767917755e-26
2000-12-01,851.516055624418,269.00028386687546,7.298188742479218e-15,-1.7490000679759539e-26
2001-01-01,825.677100536139,269.00028386687546,8.298202645099412e-15,-1.766055430582893e-26
2001-02-01,799.658804790477,269.00028386687546,8.080663013002121e-15,-1.7738172903993686e-26
2001-03-01,773.81105228514,269.00028386687546,7.994933041417955e-15,-1.7678742454635696e-26
2001-04-01,724.764771807918,269.00028386687546,8.698089677113468e-15,-1.7573814328053628e-26
2001-05-01,675.701027800499,269.00028386687546,6.051853368088216e-15,-1.7334184974123392e-26
2001-06-01,626.573762568665,269.00028386687546,5.399776989469679e-15,-1.7309974681840514e-26
2001-07-01,578.489822263759,269.00028386687546,6.564671241452506e-15,-1.7327184296358831e-26
2001-08-01,530.285046790583,269.00028386687546,8.705156720380991e-15,-1.741642822238475e-26
2001-09-01,482.154209692447,269.00028386687546,9.611026971997886e-15,-1.7643771630311178e-26
2001-10-01,461.622298968121,269.00028386687546,7.990723949069051e-15,-1.803031336253262e-26
